Symbol;SumTotalInSpread;QPRF;SumBuy;SumSell;QS;QCB;QWCB;QZ;QWCS;QCS;QB;Q;MQS;MQCB;MQWCB;MQZ;MQWCS;MQCS;MQB
EURUSD;63074;2;56200.99999999977;6873.611111111415;11946;26987;7371;3480;7101;27435;12318;96638;-0.876384031126472;-0.4735093855419194;-0.1179763654049132;0;0.103799747511331;0.4611746931848755;0.8725346137130321
GBPUSD;30028;2;26868.78571428549;3159.750000000053;6612;21729;9354;12166;9688;22286;6628;88463;-0.9252568870601269;-0.6048856584108611;-0.25351842013045;0;0.2367882617591535;0.5982275075455276;0.9250760204831399
AUDUSD;19324;2;16699.93333333338;2625.033333333387;4420;19909;10816;15302;10229;20274;4345;85295;-0.9481798464153819;-0.6629462453836684;-0.3027258338706841;0;0.3028079019872208;0.6604255818043262;0.9490591476639897
EURUSD;79895;3;73337.27777777761;6558.555555555656;13648;20876;5258;10322;4910;20782;14036;89832;-0.8480719565410989;-0.4637545640751625;-0.1728337340813964;0;0.1701620803277229;0.4561626146584736;0.8437527829726601
GBPUSD;31380;3;28091.64285714257;3289.321428571481;6210;14897;5486;22955;5656;15352;6366;76922;-0.9192688697641767;-0.6448740282363954;-0.3798913184784587;0;0.3617950651309119;0.634902888640441;0.9172408413717792
AUDUSD;15838;3;13962.26666666666;1876.2333333334;3646;11917;6214;27916;6056;12135;3353;71237;-0.9488187318387916;-0.730350800847874;-0.4758341872903126;0;0.4801577831744739;0.7355166556705083;0.9529317629883347
EURUSD;78779;4;73282.22222222193;5497.444444444538;12672;16070;3792;17429;3542;15785;13018;82308;-0.8460416970403849;-0.4968411333041746;-0.2555280167176945;0;0.2570831510910239;0.4918962919764787;0.8418379744374788
GBPUSD;24369;4;22057.46428571412;2312.250000000011;4795;9830;3370;31489;3635;10096;4770;67985;-0.9294697359711701;-0.7143487534014856;-0.5201882768257704;0;0.5092005589468265;0.7111715819666103;0.9298374641465029
AUDUSD;10166;4;9072.466666666685;1094.166666666682;2495;6916;3413;36641;3383;6836;2035;61719;-0.9595748472917578;-0.8070934396215104;-0.6397381681491923;0;0.6577229054262058;0.823295905636838;0.9670279816588084
EURUSD;70046;5;65630.77777777751;4416.111111111236;10674;12273;2782;23672;2541;12253;11093;75288;-0.8582244182339816;-0.5534348103283393;-0.3534693443842312;0;0.3460710870258208;0.5425698650515355;0.8526591223036872
GBPUSD;16603;5;15146.74999999995;1456.857142857137;3231;6486;2209;37455;2307;6765;3199;61652;-0.9475929410238111;-0.7899824823201194;-0.6489489392071627;0;0.6393466554207488;0.7864951664179589;0.9481119833906443
AUDUSD;6345;5;5696.866666666676;648.8000000000264;1638;4125;1987;41344;1977;4101;1243;56415;-0.9709651688380749;-0.8688114863068333;-0.7604715058051936;0;0.7755029690685102;0.8832402729770452;0.9779668527873793
EURUSD;57710;6;54248.55555555532;3461.666666666786;8554;9340;1968;29359;1830;9343;8824;69218;-0.8764194284723627;-0.6179028576381865;-0.4545349475569939;0;0.4486405270305413;0.6100580773787165;0.8725187090063278
GBPUSD;10834;6;9816.499999999965;1018.285714285707;2156;4412;1472;41536;1516;4498;2019;57609;-0.9625752920550609;-0.8485653283341146;-0.7464285094342897;0;0.7474352965682445;0.8518287073200368;0.9649533926990574
AUDUSD;4356;6;3861.366666666666;494.7666666666524;1024;2512;1157;44080;1141;2475;778;53167;-0.9807399326649989;-0.9142325126488236;-0.8452235409182388;0;0.8561701807512179;0.9241822935279402;0.9853668629036808
EURUSD;45440;7;42738.61111111106;2701.611111111146;6661;7072;1427;33920;1366;7163;6740;64349;-0.896486347884194;-0.6830719980108471;-0.5509953534631463;0;0.5466596217501438;0.6792024740089201;0.8952586675783617
GBPUSD;7125;7;6454.857142857118;670.499999999988;1443;2957;944;44184;977;3003;1301;54809;-0.9736722071192687;-0.8933934207885566;-0.8222189786348957;0;0.8251199620500282;0.8977357733218997;0.9762630224963054
AUDUSD;2747;7;2427.93333333333;319.0999999999909;646;1495;656;45757;654;1501;477;51186;-0.9873793615441723;-0.9455515179932013;-0.9035283085218615;0;0.9099363107099597;0.9520376665494471;0.9906810455984059
EURUSD;34934;8;32870.00000000002;2064.000000000016;5201;5397;1062;37365;1030;5491;5165;60711;-0.9143318344286867;-0.7397670932779892;-0.6333778063283425;0;0.6319942020391692;0.7394047207260629;0.9149248076954752
GBPUSD;4847;8;4345.07142857141;502.571428571412;971;2002;613;45955;623;1927;885;52976;-0.981670945333736;-0.9255511929930536;-0.8761892177589852;0;0.8820786771368167;0.93021368166717;0.9832943219571126
AUDUSD;1986;8;1775.899999999999;210.9333333333317;433;929;347;46742;378;916;304;50049;-0.9913484784910788;-0.9641351475553958;-0.9386401326699835;0;0.9436951787248497;0.9695498411556675;0.9939259525664849
EURUSD;26897;9;25267.50000000003;1629.499999999993;4091;4191;819;40048;781;4235;3879;58044;-0.9295189855971332;-0.786834125835573;-0.7005202949486596;0;0.7069636827234511;0.7933808834677142;0.9331713872234857
GBPUSD;3268;9;2937.785714285704;330.6071428571283;630;1304;390;47057;435;1284;584;51684;-0.9878105409798004;-0.9503908366225524;-0.917614735701571;0;0.9192980419472177;0.9525578515594768;0.9887005649717514
AUDUSD;1605;9;1454.566666666666;150.7333333333294;280;603;193;47242;234;616;222;49390;-0.9943308362016603;-0.9764527232233246;-0.9603361004251872;0;0.9613282040898967;0.9785381656205709;0.9955051629884593
